run_name,best_epoch,train_BinaryAUROC,train_BinaryAUROC_step,train_loss,train_loss_step,lr-AdamW,val_BinaryAUROC,val_loss,train_BinaryAUROC_epoch,train_loss_epoch,train_gate_0
tox_base_BASELINE_EXP-GIN-tox_base-2layer_fold,35,0.9833333492279053,0.9833333492279053,0.12009167671203613,0.12009167671203613,0.003580421209335327,0.9643057584762573,0.12609486281871796,0.9785234928131104,0.11301872134208679,0.0
tox_base_BASELINE_EXP-GAT-tox_base-2layer_fold,39,0.8338983058929443,0.8338983058929443,0.21801555156707764,0.21801555156707764,0.003431128803640604,0.9366738796234131,0.1789705455303192,0.9203071594238281,0.17603442072868347,0.0
tox_base_BASELINE_EXP-GAT-tox_base-2layer_fold,72,0.9958332777023315,0.9958332777023315,0.0548771508038044,0.0548771508038044,0.0035745527129620314,0.9606949687004089,0.19496217370033264,0.9613489508628845,0.11971107870340347,0.0
tox_base_BASELINE_EXP-GAT-tox_base-2layer_fold,18,0.8145160675048828,0.8145160675048828,0.15991657972335815,0.15991657972335815,0.003531435038894415,0.8644001483917236,0.27521398663520813,0.8758490085601807,0.19626277685165405,0.0
tox_base_BASELINE_EXP-GAT-tox_base-2layer_fold,100,0.9830508232116699,0.9830508232116699,0.08078336715698242,0.08078336715698242,0.0022546513937413692,0.9485212564468384,0.12277022004127502,0.9852749705314636,0.08444526791572571,0.0
tox_base_BASELINE_EXP-GAT-tox_base-2layer_fold,43,0.9624999165534973,0.9624999165534973,0.1198139414191246,0.1198139414191246,0.0030944684986025095,0.9461756944656372,0.11841969192028046,0.9188105463981628,0.17003732919692993,0.0
tox_base_BASELINE_EXP-GCN-tox_base-2layer_fold,21,0.936535120010376,0.936535120010376,0.2832026779651642,0.2832026779651642,0.0031299712136387825,0.904166579246521,0.20095595717430115,0.8889392018318176,0.16148459911346436,0.0
tox_base_BASELINE_EXP-GCN-tox_base-2layer_fold,23,0.9525424242019653,0.9525424242019653,0.11167441308498383,0.11167441308498383,0.0025745402090251446,0.9230034351348877,0.17036253213882446,0.9389752149581909,0.1641024947166443,0.0
tox_base_BASELINE_EXP-GCN-tox_base-2layer_fold,46,0.9791666269302368,0.9791666269302368,0.0936894491314888,0.0936894491314888,0.002757950918748975,0.8925735950469971,0.3112051486968994,0.9344340562820435,0.08012588322162628,0.0
tox_base_BASELINE_EXP-GCN-tox_base-2layer_fold,23,0.977011501789093,0.977011501789093,0.11932963877916336,0.11932963877916336,0.0025745402090251446,0.8856915235519409,0.19193288683891296,0.9255255460739136,0.16532765328884125,0.0
tox_base_BASELINE_EXP-GCN-tox_base-2layer_fold,22,0.9195402264595032,0.9195402264595032,0.1756802797317505,0.1756802797317505,0.0028729611076414585,0.9567826986312866,0.10957985371351242,0.8678350448608398,0.1929733157157898,0.0
tox_base_BASELINE_CROSS_EXP-GIN-tox_base-2layer_fold,46,0.9796611070632935,0.9796611070632935,0.11310609430074692,0.11310609430074692,0.002757950918748975,0.9144396781921387,0.16851027309894562,0.8925263285636902,0.15324610471725464,0.0
tox_base_BASELINE_CROSS_EXP-GIN-tox_base-2layer_fold,39,0.9838709831237793,0.9838709831237793,0.15087385475635529,0.15087385475635529,0.003431128803640604,0.9250815510749817,0.17431430518627167,0.9190645217895508,0.1592201590538025,0.0
tox_base_BASELINE_CROSS_EXP-GIN-tox_base-2layer_fold,23,0.9473684430122375,0.9473684430122375,0.17508776485919952,0.17508776485919952,0.0025745402090251446,0.8569833040237427,0.2946421205997467,0.8996638059616089,0.1772691309452057,0.0
tox_base_BASELINE_CROSS_EXP-GIN-tox_base-2layer_fold,39,0.9958332777023315,0.9958332777023315,0.06385459750890732,0.06385459750890732,0.003431128803640604,0.9179108142852783,0.1625211536884308,0.941664457321167,0.15813183784484863,0.0
