entry_id,smiles,cation_family,anion_family,value
BsJcP,CCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.299
BspSz,CC[NH3+].O=[N+]([O-])[O-],ammonium,inorganics,1.206
BtjFB,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.1069
BvLvH,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.236
BwUaA,CCCCCC[n+]1ccn(C)c1.[Br-],imidazolium,inorganics,1.2221
BwiYt,CCCCCCCCCOC[N+](C)(C)CCOC(C)=O.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.244
Bwmte,CCCn1c[n+](C)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triazolium,bistriflamides,1.515
BxnpB,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.5180799999999999
CAMFh,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,guanidinium,bistriflamides,1.3732
CAxzH,Cn1cc[n+](C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.329
CDOYd,CC[n+]1ccccc1.N#C[N-]C#N,pyridinium,amides,1.11849
CEGfX,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,pyrrolidinium,sulfonates,1.25271
CEYGO,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.383
CEZQB,CCCC[P+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,phosphonium,bistriflamides,1.2537
CGbJs,CC[NH3+].O=C[O-],ammonium,carboxylates,1.0335
CHDzR,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.3660999999999999
CHjBA,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.28081
CKGbK,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.3836
CKpQz,CC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.5359200000000002
CLVOp,CCCCCC[n+]1ccn(C)c1.[Cl-],imidazolium,inorganics,1.0443
COmPB,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=[N+]([O-])[O-],ammonium,inorganics,0.9123
CSPmJ,CCCC[N+]1(C)C2CCC1CC(O)C2.[NH3+]C(CC(=O)[O-])C(=O)[O-],pyrrolidinium,carboxylates,1.1759000000000002
CXUxv,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.554
CbtZk,COCC[n+]1ccn(C)c1.CC(O)C(N)C(=O)[O-],imidazolium,carboxylates,1.1901
CdGRL,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.2375999999999998
CeDhP,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,piperidinium,bistriflamides,1.306
CeZsw,CC[NH+]=C(N(C)C)N(C)C.CCOS(=O)(=O)[O-],guanidinium,sulfates,1.1672
CfmfV,CCCC[NH3+].O=[N+]([O-])[O-],ammonium,inorganics,1.1055
CfoiM,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.2362
CgYsa,CCCC[NH3+].O=[N+]([O-])[O-],ammonium,inorganics,1.1015
CgtDg,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,phosphonium,organic phosphates,0.8845
CkLpg,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,pyrrolidinium,amides,1.01349
Ckmhj,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,pyrrolidinium,sulfonates,1.25226
Cksec,CC(C)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.4
CmIiW,COc1ccc(-[n+]2c(C)cc(C)n2C)cc1.CS(=O)(=O)[O-],pyrazolium,sulfonates,1.2595999999999998
CnGNr,CCCCCCn1cc[n+](C)c1.CC(=O)[O-],imidazolium,carboxylates,1.0166
CnxEz,CCC[NH3+].O=C[O-],ammonium,carboxylates,0.9935
CouuC,Cn1cc[n+](CCCO)c1.N#C[N-]C#N,imidazolium,amides,1.171
CpCTq,CCCC[P+](CCCC)(CCCC)CCCN.CC(C)CC(N)C(=O)[O-],phosphonium,carboxylates,0.9719
CpQKc,CCCCCC[n+]1cc(C)cc(C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.3104200000000001
CqEQh,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.Cc1ccc(S(=O)(=O)[O-])cc1,phosphonium,sulfonates,1.003
Cqjpy,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.2975999999999999
CrDOF,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,imidazolium,carboxylates,1.291
CrngN,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.248
CtPjJ,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,imidazolium,bistriflamides,1.6111
CtjuV,CCC[NH3+].CC(=O)[O-],ammonium,carboxylates,0.9869
Ctotn,CCCCCC[n+]1ccccc1.O=C([O-])C(F)(F)F,pyridinium,carboxylates,1.2852000000000001
CuOZm,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.436
CvQlR,CCCC[P+](CCCC)(CCCC)CCOCC.CS(=O)(=O)[O-],phosphonium,sulfonates,1.027
CvZoR,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.1519000000000001
CvxfZ,CCCCCCCCC[n+]1ccn(COC2CC(C)CCC2C(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2049100000000001
CyBlO,CCCC[P+](CCCC)(CCCC)CCCC.O=C([O-])c1ccco1,phosphonium,carboxylates,1.0054
CyUMp,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,imidazolium,bistriflamides,1.372
CzREZ,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.3809
