entry_id,smiles,cation_family,anion_family,value
CkjrF,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],phosphonium,inorganics,3.4360035356698964
ClQDm,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,2.3201462861110542
CliUo,CC[n+]1c(C)cc(C)n1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrazolium,bistriflamides,1.941511432634403
CmefK,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,pyrrolidinium,bistriflamides,1.608526033577194
CnFwF,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.5117497113449827
CpfTP,CCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],imidazolium,carboxylates,1.919078092376074
CrDVD,CC[NH2+]CC.CC(=O)[O-],ammonium,carboxylates,1.7686381012476144
CsiOd,CCCCCCn1cc[n+](C)c1.CO[PH](=O)[O-],imidazolium,organic phosphates,2.8129133566428557
CykTP,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],imidazolium,inorganics,2.7363965022766426
CznMY,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,2.1172712956557644
DAmBZ,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.734799829588847
DBkmP,CCCCC(CC)C[NH2+]CCN.O=S(=O)([O-])C(F)(F)F,ammonium,sulfonates,2.9439888750737717
DBoDP,CCCC[n+]1ccn(C)c1.CC(=O)CCC(=O)[O-],imidazolium,carboxylates,2.4265112613645754
DHurB,CCOC[N+](C)(C)CCOC(C)=O.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,2.230448921378274
DIqrZ,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,2.040602340114073
DKzfb,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,phosphonium,sulfonates,4.14921911265538
DLyLU,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.955687750313506
DNfuh,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.8438554226231612
DOczg,CCCCC[n+]1ccccc1.N#C[N-]C#N,pyridinium,amides,1.6954816764901974
DPYWz,[NH3+]C(Cc1ccccc1)C(=O)OCc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,4.303196057420489
DQOCW,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,2.0038911662369103
DQWla,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,2.806179973983887
DTOGt,CCCCCCCCn1cc[n+](C)c1.[Cl-],imidazolium,inorganics,4.320146286111054
DZDmE,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,imidazolium,cyclic amides,3.0453229787866576
DavZk,CC[N+]1(C)CCCCC1.CC(=O)CCC(=O)[O-],piperidinium,carboxylates,2.6232492903979003
DbDpt,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.7993405494535817
DhLXA,CC[n+]1ccn(C)c1.O=C([O-])C1CCCN1,imidazolium,carboxylates,3.0773679052841563
DkUnX,C[NH2+]CCO.CC(C)C(=O)[O-],ammonium,carboxylates,2.2121876044039577
DlISO,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],phosphonium,sulfates,2.7168377232995247
DnnKa,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.9912260756924949
DodDn,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=[N+]([O-])c1c[n-]cn1,phosphonium,cyclic amides,2.8662873390841948
Dopfo,CCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,2.0211892990699383
DuFps,CCCC[S+]1CCCC1.N#C[N-]C#N,cyclic sulfonium,amides,1.7965743332104296
DuYBs,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,2.494154594018443
DxEup,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.9912260756924949
DxURS,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,phosphonium,amides,2.5599066250361124
DyLVe,CCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,2.754348335711019
EAGWS,C=C[n+]1ccn(CCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.9030899869919435
EAXgU,COCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,piperidinium,bistriflamides,1.8444771757456817
EAsil,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.CCCCCCCCC=CCCCCCCCC(=O)[O-],ammonium,carboxylates,3.2946866242794433
ECYiM,CCCCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,2.603144372620182
EDhZC,CC[NH2+]CC.O=S(=O)([O-])O,ammonium,sulfates,1.5327543789924978
EDsFU,Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1.N#C[N-]C#N,imidazolium,amides,1.723058084677307
EEQjN,CCCCn1cc[n+](C2CCCC2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.929929560084588
EEmfb,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.890979596989689
EGMZQ,CCCCCCCC[N+]1(C)CCOCC1.CCCCCCCCO[PH](=O)[O-],morpholinium,organic phosphates,1.761927838420529
EISRN,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,imidazolium,bistriflamides,1.8344207036815323
ELVKe,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,phosphonium,bistriflamides,1.930949031167523
EMMEF,CCCCCC[NH+](CCCCCC)CCCCCC.CCCC(=O)[O-],ammonium,carboxylates,1.0374264979406236
ENCEm,CCCC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,methanides,2.4345689040341987
EQfRm,CC[N+](C)(C)CCOC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,ammonium,phosphates,2.115943176939055
ESGgh,CC1(C)OCC(C[N+]2(C)CCCC2)O1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,2.459392487759231
ESIwb,CCCCCCCC[P+](CC)(CC)CC.Ic1cc[n-]n1,phosphonium,cyclic amides,2.343353876091346
ETwGk,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,2.017450729510536
EViwc,CCCCCCCCCCCCCC[N+](C)(CCOCCOCCOCCOCCOCCO)CCOCCOCCOCCOCCOCCO.COS(=O)(=O)[O-],ammonium,sulfates,3.4456042032735974
EWUon,CCCCCC[N+]1(C)CCOCC1.CC(=O)NC(C(=O)[O-])C(C)C,morpholinium,carboxylates,4.110589710299249
EXaHw,CCCCn1cc[n+](CCC#N)c1.CCCCCCCCCCCCOS(=O)(=O)[O-],imidazolium,sulfates,3.8976270912904414
EZwyv,CCCCCCCn1cc[n+](CCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,2.1319392952104246
Ecjdg,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.9242792860618816
EcjfU,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,phosphonium,bistriflamides,1.841234295506041
EddsX,Cn1cc[n+](C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.8904210188009145
EeCRP,CCCC[P+](CCCC)(CCCC)CCCC.NCCS(=O)(=O)[O-],phosphonium,sulfonates,3.0081741840064264
EgElt,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,pyrrolidinium,methanides,1.4653828514484182
EqTPM,CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC.O=C([O-])c1ccccc1C(=O)O,ammonium,carboxylates,2.8656960599160706
ErRdl,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,quinlolinium,bistriflamides,2.56702636615906
Eyjgv,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,piperidinium,amides,2.089905111439398
FBOTA,C[N+]1(CCO)CCCC1.COP(=O)([O-])OC,pyrrolidinium,organic phosphates,2.991669007379949
FJKRh,CC[n+]1ccn(C)c1.N#C[S-],imidazolium,inorganics,1.3463529744506386
FMJbY,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,phosphonium,bistriflamides,2.3161800988934527
FMqnA,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,imidazolium,carboxylates,2.890979596989689
FTIFb,Cn1cc[n+](Cc2ccccc2)c1.[Cl-],imidazolium,inorganics,3.5711262770843115
FZIdm,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.9390197764486663
FbluL,COCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,pyrrolidinium,bistriflamides,1.59659709562646
FbzTA,CCCC[n+]1ccccc1.O=C([O-])C(F)(F)F,pyridinium,carboxylates,1.9474337218870508
FdEfW,CCC[n+]1ccn(C)c1C.O=S(=O)([O-])O,imidazolium,sulfates,2.4216039268698313
FdQAW,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,imidazolium,methanides,1.4329692908744056
FdgiM,CC[n+]1ccn(C)c1.CCCCCCCCCCOS(=O)(=O)[O-],imidazolium,sulfates,2.9116901587538613
FeAOO,CC[n+]1cccc(C)c1.CCOS(=O)(=O)[O-],pyridinium,sulfates,2.131297796597623
FeGOB,CCC[N+]1(C)CCOCC1.CC(=O)NC(CC(C)C)C(=O)[O-],morpholinium,carboxylates,4.209515014542631
FkPkI,CCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,2.578639209968072
Fnvyg,CC[NH+](CC)CC.O=P([O-])(O)O,ammonium,organic phosphates,1.808210972924222
FoIAG,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.606381365110605
FrcMG,CC(C)C[NH3+].O=C[O-],ammonium,carboxylates,2.3521825181113627
Fuphn,CCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc2cn[n-]c2c1,phosphonium,cyclic amides,2.9822712330395684
FxXpY,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,1.6988831367525905
FxafG,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.CCCCCCCCC=CCCCCCCCC(=O)[O-],ammonium,carboxylates,3.0619799470748785
FyOSk,CC[P+](CC)(CC)COCCOC.Cc1ncc([N+](=O)[O-])[n-]1,phosphonium,cyclic amides,2.146128035678238
GEIZL,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],imidazolium,sulfonates,2.22219604630172
GFxvX,CCCCCCCC[N+]1(C)CCOCC1.CC(=O)NC(C(=O)[O-])C(C)C,morpholinium,carboxylates,4.432969290874405
GGLOg,CCCCn1cc[n+](CCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.8369567370595503
GGQYB,CCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.9242792860618816
GGegL,CC[P+](CC)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,phosphonium,bistriflamides,1.6825060859390113
GHfaV,CCCCCC[n+]1ccn(C)c1.[Cl-],imidazolium,inorganics,4.2576785748691846
GMEVe,CC[n+]1ccn(C)c1.CC(N)C(=O)[O-],imidazolium,carboxylates,2.2335037603411343
GOfNv,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.887054378050957
GPAas,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.8388490907372552
GPOcl,CC(C)(C)OC(=O)C([NH3+])Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,4.204119982655925
GRWqh,N#CCCn1cc[n+](CCO)c1.N#C[S-],imidazolium,inorganics,3.149157506231856
GSBmw,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.7723217067229198
GWoHD,CCCC[P+](CCCC)(CCCC)CCCC.NC(CS)C(=O)[O-],phosphonium,carboxylates,3.469232742506612
GWsBv,COCC[n+]1ccccc1.N#C[N-]C#N,pyridinium,amides,1.568201724066995
GYMAT,COC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.7641761323903309
GZHpz,CCCCn1c[n+](C)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triazolium,bistriflamides,2.0232524596337114
GanWP,CCC=C[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,imidazolium,cyclic amides,2.770852011642144
GbbjD,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],imidazolium,inorganics,2.193958978019187
GbtQX,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,sulfonium,bistriflamides,1.510545010206612
GfcsC,CC(O)C[NH3+].O=C[O-],ammonium,carboxylates,2.931457870689005
GgDxL,Cn1cc[n+](CCO)c1.N#C[N-]C#N,imidazolium,amides,1.826722520168992
GkUkM,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,imidazolium,methanides,1.146128035678238
GoIyv,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,2.0737183503461227
GogER,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,pyrrolidinium,sulfonates,2.225050696138049
GqbKZ,CCCCCn1cc[n+](CCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.977723605288848
GsAjb,CCCCCCCC[P+](CC)(CC)CC.Cc1ncc([N+](=O)[O-])[n-]1,phosphonium,cyclic amides,2.7944880466591697
Gugcm,CCC[N+]1(C)CCOCC1.CC(=O)NC(C(=O)[O-])C(C)C,morpholinium,carboxylates,3.761927838420529
GuhCD,C[N+]1(CCO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.9030899869919435
Gunst,CCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,2.184691430817599
HCQEL,CCCCO[n+]1ccn(CCCC)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.9294189257142929
HFyjJ,CCCC[n+]1ccn(C)c1.[I-],imidazolium,inorganics,2.770852011642144
HIabK,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,pyrrolidinium,phosphates,2.328583449714202
HOdnr,CCCCCC[N+](C)(C)C(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,2.167317334748176
HQzhK,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,imidazolium,carboxylates,2.8530895298518657
HUGgB,CCCC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,2.643452676486187
HcvNg,CCCC[n+]1ccn(C)c1C.NCC(=O)[O-],imidazolium,carboxylates,2.3384564936046046
HfEec,COCCOCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.8041394323353503
Hhosm,CCCn1cc[n+](C)c1C.O=[N+]([O-])c1cn[n-]c1,imidazolium,cyclic amides,2.858537197569639
HkqPf,CCOCCn1cc[n+](C)c1.CC(=O)[O-],imidazolium,carboxylates,1.4772659954248526
