entry_id,smiles,cation_family,anion_family,value
RPjtD,CCC[N+]1(C)CCOCC1.CC(=O)NC(CC(C)C)C(=O)[O-],morpholinium,carboxylates,1.8234000000000001
RUXNe,CCCCCc1c(C)cc(C)c[n+]1CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.293
RZjQo,CCCC[NH+](CCCC)CCCC.[Cl-],ammonium,inorganics,1.3182
Rezes,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.2827
RrQPr,CCCCCC[n+]1cc(C)cc(C)c1CCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.291
Rvcmm,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.2466
SdOHb,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2408
SeRCV,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.3353
SmybT,CC[n+]1ccn(C)c1.N#C[S-],imidazolium,inorganics,1.851
SrfPr,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.233
SusvA,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4415
TBZEi,C[NH2+]CCO.CCC(=O)[O-],ammonium,carboxylates,1.6384
THgwi,C[NH+](C)C.O=P([O-])(O)O,ammonium,organic phosphates,1.672
TLAbd,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,imidazolium,sulfates,1.9828
TUAcI,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],imidazolium,sulfonates,1.7666
TZmcn,C[NH+](C)C.O=S(=O)([O-])O,ammonium,sulfates,1.564
ThWgC,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4065
TkYLI,C[N+]1=C(O)CCC1.CC(=O)[O-],amidium,carboxylates,1.4735
TmMUk,CCCC[n+]1ccn(C)c1.N#C[S-],imidazolium,inorganics,1.7672
TpPNm,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.6782000000000001
TpgdN,CC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,1.74
TwSQW,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.26
UGNDf,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.424
UJmdv,CCCCCCCC[N+]1(C)CCOCC1.CC(=O)NC(C)C(=O)[O-],morpholinium,carboxylates,1.7307000000000001
UJxib,CCCCCCCCn1cc[n+](C)c1.N#C[S-],imidazolium,inorganics,1.6149
UaUGS,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.758
UirVr,CC[NH+](CC)CC.O=P([O-])(O)O,ammonium,organic phosphates,1.794
UrAKy,CN(C)C(=[NH2+])N(C)C.CCCCCC(=O)[O-],guanidinium,carboxylates,1.522
Usiwh,CC(C)COC(=O)C([NH3+])C(C)C.CCCCCCCCCCCCOS(=O)(=O)[O-],ammonium,sulfates,0.00100929
VJfjF,CC(C)OC(=O)C1CCC[NH2+]1.CCCCCCCCCCCCOS(=O)(=O)[O-],pyrrolidinium,sulfates,1.4192
VQaJO,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,1.6877
VfiVK,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.7621
VyVUj,CCCCCC[n+]1cc(C)cc(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.288
WBZRV,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2274
WJEOG,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.334
WKcyi,CC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.2686
WPPnQ,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,imidazolium,methanides,1.674
WTScB,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.4356
WagBB,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.3914000000000002
WezUV,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4422000000000001
WhYYS,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],phosphonium,sulfates,1.5462
WmZLi,CCCCn1cc[n+](C2CCCC2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.271
XFnGZ,CCCCCC[n+]1ccn(C)c1.N#C[S-],imidazolium,inorganics,1.6692
XQGjv,CC[N+]1(C)CCOCC1.CC(=O)NC(C)C(=O)[O-],morpholinium,carboxylates,1.9839
XQzeO,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4425999999999999
XRbZv,CCCCCCCC[N+]1(C)CCOCC1.CC(=O)NC(C(=O)[O-])C(C)C,morpholinium,carboxylates,1.685
XSHVY,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.234
XSMyR,CC(C)OC(=O)C([NH3+])C(C)C.CCCCCCCCCCCCOS(=O)(=O)[O-],ammonium,sulfates,1.4005
XTwOL,CCCC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,1.65
XVSgT,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.226
XYMap,CC[N+]1(C)CCOCC1.CC(=O)NC(C(=O)[O-])C(C)C,morpholinium,carboxylates,1.9243
XoyCL,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],imidazolium,sulfonates,1.7668
XsrFW,CCCCCn1cc[n+](CCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.21365
YFHKN,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,imidazolium,phosphates,1.1087
YIqSf,CCc1cccc[n+]1CC.CCOS(=O)(=O)[O-],pyridinium,sulfates,1.7452
YMPUD,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4047
YSvNU,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2402
YUyyo,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,pyridinium,sulfonates,1.4161
YdNNi,C[NH2+]CCO.CC(C)C(=O)[O-],ammonium,carboxylates,1.611675
YfXUG,CCCC[n+]1ccn(C)c1.CCCCCCCCOS(=O)(=O)[O-],imidazolium,sulfates,1.4847000000000001
YfpTk,CCCCCC[N+]1(C)CCOCC1.CC(=O)NC(C)C(=O)[O-],morpholinium,carboxylates,1.8182
YkCJm,CCCCCCCCn1cc[n+](C)c1.N#C[S-],imidazolium,inorganics,1.615
YnHKQ,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.755
ZFuaZ,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2275
ZNAhb,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.3921
ZRWIJ,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4244
ZVDqb,CC[NH+](CC)CC.O=S(=O)([O-])O,ammonium,sulfates,1.874
ZfWHB,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.3734000000000002
ZnVOG,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.3921
Zzxfe,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,pyrrolidinium,amides,1.8111
aBxqH,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2262
aWCcB,C[NH+](C)C.CC(=O)[O-],ammonium,carboxylates,1.544
