smiles,MP
F[B-](F)(F)F.CCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,46.0
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,42.0
[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,58.0
F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,75.0
[Cl-].CCCCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,53.0
F[B-](F)(F)F.CCCCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,67.0
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,45.0
[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,66.0
F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,80.0
[Br-].CCCCCCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,60.0
[Cl-].COC[N+]1=CN(C)C=C1,17.0
F[B-](F)(F)C(F)(F)F.COC[N+]1=CN(C)C=C1,17.0
COC[N+]1=CN(C)C=C1.F[B-](F)(F)C(F)(F)C(F)(F)F,-21.0
[I-].C[N+]1=CN(C=C1)C(F)(F)C(F)F,141.0
F[B-](F)(F)F.C[N+]1=CN(C=C1)C(F)(F)C(F)F,64.0
C[N+]1=CN(C=C1)C(F)(F)C(F)F.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,42.0
[I-].CC[N+]1=CN(C=C1)C(F)(F)C(F)F,91.0
F[B-](F)(F)F.CC[N+]1=CN(C=C1)C(F)(F)C(F)F,25.0
CC[N+]1=CN(C=C1)C(F)(F)C(F)F.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,16.0
[I-].CCC[N+]1=CN(C=C1)C(F)(F)C(F)F,78.0
[I-].CCCC[N+]1=CN(C=C1)C(F)(F)C(F)F,74.0
CCOC(=O)[C@@H](C)[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,45.0
[O-]S(=O)(=O)C(F)(F)F.CCOC(=O)[C@@H](C)[N+]1=CN(C)C=C1,73.0
F[B-](F)(F)F.CCCCCCCCOCN1C=C[N+](COCCCCCCCC)=C1,54.0
F[B-](F)(F)F.CCCCCCCCCOCN1C=C[N+](COCCCCCCCCC)=C1,57.0
F[B-](F)(F)F.CCCCCCCCCCOCN1C=C[N+](COCCCCCCCCCC)=C1,69.0
F[B-](F)(F)F.CCCCCCCCCCCOCN1C=C[N+](COCCCCCCCCCCC)=C1,71.0
F[B-](F)(F)F.CCCCCCCCCCCCOCN1C=C[N+](COCCCCCCCCCCCC)=C1,79.0
[Cl-].CN1C=C[N+](CCO)=C1,61.0
F[P-](F)(F)(F)(F)F.CN1C=C[N+](CCO)=C1,23.0
COC(=O)C[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-43.0
F[P-](F)(F)(F)(F)F.COC(=O)C[N+]1=CN(C)C=C1,77.0
CCC(C)[N+]1=CN(C)C=C1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,43.0
CC(C)CC[N+]1=CN(C)C=C1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,40.0
[I-].C[N+]1=CN(CCO[Si](C)(C)C)C=C1,69.0
[Br-].C[Si](C)(C)OCCN1C=C[N+](CCF)=C1,126.0
[I-].C[Si](C)(C)OCCN1C=C[N+](CCC(F)(F)F)=C1,133.0
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCC(=O)C[N+]1=CN(CCC(F)(F)F)C=C1,128.0
F[B-](F)(F)F.C[N+]1=CN(CC#N)C=C1,35.0
F[P-](F)(F)(F)(F)F.C[N+]1=CN(CC#N)C=C1,78.0
[Cl-].C[N+]1=CN(CCC#N)C=C1,50.0
F[B-](F)(F)F.C[N+]1=CN(CCC#N)C=C1,20.0
F[P-](F)(F)(F)(F)F.C[N+]1=CN(CCC#N)C=C1,35.0
[Cl-].C[N+]1=CN(CCCC#N)C=C1,80.0
F[B-](F)(F)F.C[N+]1=CN(CCCC#N)C=C1,-72.0
CC(CC#N)[B-](F)(F)F.C[N+]1=CN(CCCC#N)C=C1,-77.0
F[P-](F)(F)(F)(F)F.C[N+]1=CN(CCCC#N)C=C1,75.0
[Cl-].C[N+]1=CN(CCCCC#N)C=C1,32.0
F[B-](F)(F)F.C[N+]1=CN(CCCCC#N)C=C1,-72.0
F[P-](F)(F)(F)(F)F.C[N+]1=CN(CCCCC#N)C=C1,-60.0
F[B-](F)(F)F.CCCC[NH+]1CN(CCP(=O)(OCC)OCC)C=C1,-81.0
F[P-](F)(F)(F)(F)F.CCCC[NH+]1CN(CCP(=O)(OCC)OCC)C=C1,-50.0
F[B-](F)(F)F.CCCC[NH+]1CN(CCCP(=O)(OCC)OCC)C=C1,-64.0
F[P-](F)(F)(F)(F)F.CCCC[NH+]1CN(CCCP(=O)(OCC)OCC)C=C1,-53.0
F[B-](F)(F)F.CCCCCC[NH+]1CN(CCP(=O)(OCC)OCC)C=C1,-83.0
F[P-](F)(F)(F)(F)F.CCCCCC[NH+]1CN(CCP(=O)(OCC)OCC)C=C1,-62.0
F[B-](F)(F)F.CCCCCC[NH+]1CN(CCCP(=O)(OCC)OCC)C=C1,-76.0
F[P-](F)(F)(F)(F)F.CCCCCC[NH+]1CN(CCCP(=O)(OCC)OCC)C=C1,-66.0
F[B-](F)(F)F.CCCCCCCC[NH+]1CN(CCP(=O)(OCC)OCC)C=C1,-80.0
F[P-](F)(F)(F)(F)F.CCCCCCCC[NH+]1CN(CCP(=O)(OCC)OCC)C=C1,-64.0
