cation_id,anion_id,solute_id,reference_id,T,idac,cation_smiles,anion_smiles,solute_smiles,smiles,temperature,value
"im-4,1",bf4,1-octene,bahlmann-2009,353.23,74.2,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCCC,0.4067500000000003,4.3067641501733345
"im-4,1",bf4,1-decene,bahlmann-2009,323.16,223.6,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCCCCC,0.2188125000000003,5.409858741280944
"im-4,1",bf4,1-decene,bahlmann-2009,333.17,206.6,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCCCCC,0.28137500000000026,5.330784556685538
"im-4,1",bf4,1-decene,bahlmann-2009,343.17,189.5,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCCCCC,0.34387500000000026,5.244389024522481
"im-4,1",bf4,1-decene,bahlmann-2009,353.16,179.9,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCCCCC,0.4063125000000003,5.192401140956488
"im-4,1",bf4,benzene,cehreli-2010,313.15,2.341,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,c1ccccc1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.c1ccccc1,0.15625,0.8505781885087738
"im-4,1",bf4,benzene,cehreli-2010,323.15,2.246,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,c1ccccc1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.c1ccccc1,0.21875,0.8091508563162514
"im-4,1",bf4,benzene,cehreli-2010,333.15,2.218,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,c1ccccc1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.c1ccccc1,0.28125,0.7966058889281753
"im-6,1",bf4,n-heptane,bahlmann-2009,303.16,45.04,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCC,0.0938125000000003,3.807550983831435
"im-6,1",bf4,n-heptane,bahlmann-2009,318.14,42.01,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCC,0.18743750000000006,3.7379076851812907
