entry_id,smiles,cation_family,anion_family,value
HoLet,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,0.376
HtDSU,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,pyrrolidinium,sulfonates,0.435
ICBQT,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],quinlolinium,inorganics,0.522
IJVWx,CCCC[n+]1ccn(C)c1.[Cl-],imidazolium,inorganics,0.323
IpsGo,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,0.384
JBjHk,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,0.3944
JUNhp,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,0.536
JVJFm,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,0.4162
JXsTg,N#CCCC[n+]1ccccc1.N#C[N-]C#N,pyridinium,amides,0.42219999999999996
JdjqG,CCCCCCCCCCCCCC[N+](C)(CCOCCOCCOCCOCCOCCO)CCOCCOCCOCCOCCOCCO.COS(=O)(=O)[O-],ammonium,sulfates,1.07
JgrYZ,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,0.389
Jpjrc,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,imidazolium,sulfonates,0.483
JxgJn,CCCCCCCn1cc[n+](CCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.839
KHNuq,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.57
KgbRY,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.778
LKOpD,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,0.908
