smiles,MP
Cn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,84.0
Cn1cc[nH+]c1.F[P-](F)(F)(F)(F)F,116.0
Cn1cc[nH+]c1.O=C([O-])C(F)(F)F,51.0
CCn1cc[nH+]c1.[Cl-],58.0
CCn1cc[nH+]c1.[Br-],60.0
CCn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],21.0
CCn1cc[nH+]c1.O=[N+]([O-])[O-],31.0
CCn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,8.0
Cn1cc[n+](C)c1.[Cl-],125.0
Cn1cc[n+](C)c1.F[B-](F)(F)F,103.0
Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,22.0
Cn1cc[n+](C)c1.O=C([O-])C(F)(F)F,52.0
Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)F,15.0
Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,27.0
Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,11.0
Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,16.0
Cc1[nH+]ccn1C.[Cl-],181.0
Cc1[nH+]ccn1C.[Br-],176.0
Cc1[nH+]ccn1C.[O-][Cl+3]([O-])([O-])[O-],64.0
Cc1[nH+]ccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,22.0
Cc1[nH+]ccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,15.0
Cc1[nH+]ccn1C.O=[N+]([O-])[O-],84.0
Cc1[nH+]ccn1C.O=S(=O)([O-])C(F)(F)F,119.0
Cc1[nH+]ccn1C.F[P-](F)(F)(F)(F)F,115.0
CC[n+]1ccn(C)c1.[Cl-],80.0
CC[n+]1ccn(C)c1.[I-],79.0
CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,1.0
CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.0
CCCCC[B-](F)(F)F.CC[n+]1ccn(C)c1,16.0
CC[n+]1ccn(C)c1.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.0
CC[n+]1ccn(C)c1.O=N[O-],55.0
CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],38.0
CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,28.0
CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],5.0
CC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,39.0
CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,9.0
CCn1cc[nH+]c1C.[Cl-],178.0
CCn1cc[nH+]c1C.[Br-],144.0
CCn1cc[nH+]c1C.[O-][Cl+3]([O-])([O-])[O-],7.0
CCn1cc[nH+]c1C.O=[N+]([O-])[O-],75.0
CCn1cc[nH+]c1C.O=S(=O)([O-])C(F)(F)F,33.0
Cn1cc[n+](CC(F)(F)F)c1.O=S(=O)([O-])C(F)(F)F,45.0
CCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,23.0
CCC[n+]1ccn(C)c1.[Cl-],60.0
CCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,34.0
CCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,40.0
CC(C)[n+]1ccn(C)c1.[I-],114.0
CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,16.0
CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,29.0
CC(C)[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,102.0
COCC[n+]1ccn(C)c1.[Cl-],67.0
COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,2.0
COCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,27.0
COCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,26.0
CCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,104.0
CCCC[n+]1ccn(C)c1.C[Si](C)(CCC(F)(F)F)c1ccc([B-](c2ccc([Si](C)(C)CCC(F)(F)F)cc2)(c2ccc([Si](C)(C)CCC(F)(F)F)cc2)c2ccc([Si](C)(C)CCC(F)(F)F)cc2)cc1,104.0
CCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc([B-](c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,90.0
CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,16.0
CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,20.0
CCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,82.0
CCCCC[n+]1ccn(C)c1.O=C1[N-]S(=O)(=O)c2ccccc21,64.0
CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)F,2.0
CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,21.0
CCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,82.0
CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,29.0
Cn1cc[n+](CC(=O)c2ccccc2)c1.[Br-],49.0
CCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,69.0
CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7.0
CCCCn1cc[n+](CCCC)c1.[Cl-],55.0
Cn1cc[n+](Cc2ccccc2)c1.[Br-],126.0
Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)F,27.0
Cn1cc[n+](Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F,130.0
