cation,anion
CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F
CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
Cn1cc[n+](CC(=O)c2ccccc2)c1,[Br-]
CCCCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
CCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCn1cc[n+](CCCC)c1,[Cl-]
Cn1cc[n+](Cc2ccccc2)c1,[Br-]
Cn1cc[n+](Cc2ccccc2)c1,O=S(=O)([O-])C(F)(F)F
Cn1cc[n+](Cc2ccccc2)c1,F[P-](F)(F)(F)(F)F
COc1ccc(-[n+]2ccn(C)c2)cc1,O=S(=O)([O-])C(F)(F)F
CCCCCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
CCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
Cn1cc[n+](CCc2ccccc2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
Cn1cc[n+](CCc2ccccc2)c1,F[P-](F)(F)(F)(F)F
CCCCCCCOC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
CCCCOC[n+]1ccn(COCCC)c1,F[P-](F)(F)(F)(F)F
CCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
CCCCCCCC[n+]1ccn(CC)c1,Cc1ccc(S(=O)(=O)[O-])cc1
Cn1cc[n+](CCCc2ccccc2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
Cn1cc[n+](CCCc2ccccc2)c1,F[P-](F)(F)(F)(F)F
CCCCOCn1cc[n+](COCCCC)c1,F[P-](F)(F)(F)(F)F
CCCCCCCC[n+]1ccn(CCC)c1,F[P-](F)(F)(F)(F)F
CCCCCCCCCC[n+]1ccn(C)c1,[Cl-]
CCCCCCCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
CCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCC[n+]1ccn(C)c1,Cc1ccc(S(=O)(=O)[O-])cc1
CCCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
CCCCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
CCCCCCCCCCCC[n+]1ccn(C)c1,[Cl-]
CCCCCCCCCCCC[n+]1ccn(C)c1,[Br-]
CCCCCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
CCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
CCCCCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
CCCCCCCCCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
CCCCCCCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F
CCCCCCCCCCCCCC[n+]1ccn(C)c1,[Cl-]
CCCCCCCCCCCCCC[n+]1ccn(C)c1,[Br-]
CCCCCCCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
CCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
