Abbreviation	SMILES
im-2o2,2,1o3	CCCOCc1n(CC)cc[n+]1CCOCC
im-3,1,1o2	CCC[n+]1ccn(C)c1COCC
im-3,1,1o3	CCCOCc1n(C)cc[n+]1CCC
im-3,2,1o2	CCC[n+]1ccn(CC)c1COCC
im-3,2,1o3	CCCOCc1n(CC)cc[n+]1CCC
im-4,1,1o2	CCCC[n+]1ccn(C)c1COCC
im-4,1,1o3	CCCC[n+]1ccn(C)c1COCCC
im-4,2,1o2	CCCC[n+]1ccn(CC)c1COCC
im-4,2,1o3	CCCC[n+]1ccn(CC)c1COCCC
im-5,1,1o2	CCCCC[n+]1ccn(C)c1COCC
im-5,1,1o3	CCCCC[n+]1ccn(C)c1COCCC
im-5,2,1o2	CCCCC[n+]1ccn(CC)c1COCC
im-5,2,1o3	CCCCC[n+]1ccn(CC)c1COCCC
im-moxm,1	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC[n+]1ccn(C)c1
im-moxm,2	CCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-moxm,3	CCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-moxm,4	CCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-moxm,5	CCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-moxm,6	CCCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-moxm,7	CCCCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-moxm,8	CCCCCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-moxm,9	CCCCCCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-moxm,10	CCCCCCCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-moxm,11	CCCCCCCCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-moxm,12	CCCCCCCCCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
im-pho1,1	COc1ccc(cc1)-[n+]1ccn(C)c1
im-3nhconh4,1	CCCCNC(=O)NCCCn1cc[n+](C)c1
im-1(1[f]),1	C[n+]1ccn(CC(F)(F)F)c1
im-2(1[f]),1	C[n+]1ccn(CCC(F)(F)F)c1
im-2(2[f]),1	C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1
im-2(4[f]),1	C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1
im-2(6[f]),1	C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1
im-2cl,1	Cn1cc[n+](CCCl)c1
im-1(chbr,ch2br),(chbr,ch2br)	BrC[C@@H](Br)Cn1cc[n+](c1)[C@H](Br)CBr
im-1(chbr,ch2br),1(chbr,ch2br)	BrC[C@@H](Br)Cn1cc[n+](C[C@@H](Br)CBr)c1
